"Horodateur","Ça va ?","Quel type de musique écoutez vous le plus ? ","Depuis combien de temps écoutez-vous le style choisi ?","Quel autre type de musique écoutez vous ? (Non obligatoire)","Suite à la question précédente, depuis combien de temps écoutez-vous le deuxième style choisi s'il existe ?","Sur quelle plateforme écoutez vous de la musique ?","Sur quel support écoutez vous de la musique ?","Durant combien de temps écoutez vous de la musique par semaine ?","Êtes-vous un homme ou une femme ?","Avant d'arriver aux Mines d'Alès, quel type d'établissement scolaire fréquentiez-vous ?","Quel est votre GPA ? (à 0.1 près, les deux chiffres séparés par un point)","Pratiquez vous du sport et/ou jouez vous de la musique ?","En dehors des périodes scolaires, habitez-vous en zone rurale ou urbaine ?","Êtes-vous boursier ?"
"2020/02/04 5:19:09 PM UTC+1","Oui","Rock/Metal","Depuis ma prime jeunesse","Bandes originales de films/jeux vidéos","Depuis ma prime jeunesse","Achat d'albums physiques / dématérialisés","Casque audio","Plus de 8 heures","Homme","CPGE","3.2","Je joue d'un instrument","1","Oui"
"2020/02/04 5:20:09 PM UTC+1","Oui","Jazz","Depuis ma prime jeunesse","Rap/Musique de type street","Depuis le lycée","Plateforme plus variée (YouTube, Soundcloud...)","Écouteurs","Plus de 8 heures","Homme","DUT","3.0","Les deux","2","Non"
"2020/02/04 5:20:23 PM UTC+1","Oui","Psy trance ultra hard core","Depuis ma prime jeunesse","reggae dub psychédelique","Depuis ma prime jeunesse","sur vinyle","sonographe","Plus de 8 heures","Homme","Master","3.1","Aucun des deux","2","Non"
"2020/02/04 5:20:27 PM UTC+1","Bien sûr","Techno / Acid","Depuis mon arrivée aux Mines d'Alès","Jazz","Depuis le lycée","Plateforme de streaming classique (Spotify, Deezer, Apple Music...)","Enceinte","Plus de 8 heures","Homme","CPGE","2.9","Je joue d'un instrument","1","Non"
"2020/02/04 5:20:41 PM UTC+1","Oui","Jazz","Depuis l'entrée en études supérieures","","","Plateforme plus variée (YouTube, Soundcloud...)","Telephone","Entre 1 et 2 heures","Homme","CPGE","3.25","Je joue d'un instrument","3","Non"
"2020/02/04 5:20:47 PM UTC+1","Oui","Rap/Musique de type street","Depuis le collège","Rock/Metal","Depuis ma prime jeunesse","Plateforme plus variée (YouTube, Soundcloud...)","Enceinte","Moins d'une heure","Femme","CPGE","2,75","Les deux","2","Non"
"2020/02/04 5:21:41 PM UTC+1","Oui","Pop/Commercial","Depuis ma prime jeunesse","Bandes originales de films/jeux vidéos","Depuis le collège","Plateforme plus variée (YouTube, Soundcloud...)","Voiture","Entre 4 et 8 heures","Femme","CPGE","3.7","Je fais du sport","2","Oui"
"2020/02/04 5:22:03 PM UTC+1","Oui","Pop/Commercial","Depuis l'entrée en études supérieures","Rap/Musique de type street","Depuis le collège","Plateforme de streaming classique (Spotify, Deezer, Apple Music...)","Enceinte","Entre 4 et 8 heures","Femme","Fac","3.86 (eh ouais on est là)","Je fais du sport","1","Oui"
"2020/02/04 5:22:19 PM UTC+1","Oui","Rock/Metal","Depuis ma prime jeunesse","Jazz","Depuis l'entrée en études supérieures","Plateforme de streaming classique (Spotify, Deezer, Apple Music...)","Casque audio","Plus de 8 heures","Homme","CPGE","2.85","Je fais du sport","2","Oui"
"2020/02/04 5:22:22 PM UTC+1","Bien sûr","Rock/Metal","Depuis l'entrée en études supérieures","Sons de teuf","Depuis le lycée","Plateforme plus variée (YouTube, Soundcloud...)","Voiture","Entre 2 et 4 heures","Homme","CPGE","1a aucune idée","Je fais du sport","2","Oui"
"2020/02/04 5:22:30 PM UTC+1","Oui","Pop/Commercial","Depuis le collège","","","Plateforme plus variée (YouTube, Soundcloud...)","Enceinte","Entre 4 et 8 heures","Homme","CPGE","3","Aucun des deux","2","Oui"
"2020/02/04 5:22:42 PM UTC+1","Oui","Pop/Commercial","Depuis le collège","Rock/Metal","Depuis le collège","Plateforme de streaming classique (Spotify, Deezer, Apple Music...)","tout ce qui est dit hihi","Entre 2 et 4 heures","Femme","CPGE","3.6","Je fais du sport","1","Non"
"2020/02/04 5:23:14 PM UTC+1","Oui","Pop/Commercial","Depuis le collège","Rock/Metal","Depuis le lycée","Plateforme plus variée (YouTube, Soundcloud...)","Les quatre","Plus de 8 heures","Femme","CPGE","3.7","Les deux","1","Non"
"2020/02/04 5:23:23 PM UTC+1","Bien sûr","Pop/Commercial","Depuis le collège","Musique électronique","Depuis l'entrée en études supérieures","Plateforme de streaming classique (Spotify, Deezer, Apple Music...)","Écouteurs","Entre 1 et 2 heures","Femme","CPGE","3.3","Je joue d'un instrument","2","Oui"
"2020/02/04 5:23:24 PM UTC+1","Bien sûr","Pop/Commercial","Depuis ma prime jeunesse","","","Plateforme plus variée (YouTube, Soundcloud...)","Casque audio","Moins d'une heure","Homme","CPGE","3.4","Je fais du sport","2","Non"
"2020/02/04 5:23:40 PM UTC+1","Oui","Musique électronique","Depuis le collège","Rock/Metal","Depuis le lycée","Plateforme de streaming classique (Spotify, Deezer, Apple Music...)","Casque audio","Plus de 8 heures","Homme","DUT","3.5","Je fais du sport","4","Je suis salarié"
"2020/02/04 5:24:05 PM UTC+1","Bien sûr","Rap/Musique de type street","Depuis le lycée","Rock/Metal","Depuis l'entrée en études supérieures","Plateforme de streaming classique (Spotify, Deezer, Apple Music...)","Casque audio","Plus de 8 heures","Homme","CPGE","3,2","Les deux","3","Non"
"2020/02/04 5:24:20 PM UTC+1","Bien sûr","Rap/Musique de type street","Depuis l'entrée en études supérieures","","","Plateforme de streaming classique (Spotify, Deezer, Apple Music...)","Casque audio","Entre 1 et 2 heures","Homme","CPGE","3.2","Aucun des deux","3","Non"
"2020/02/04 5:24:27 PM UTC+1","Bien sûr","Rock/Metal","Depuis le lycée","Musique électronique","Depuis l'entrée en études supérieures","Plateforme plus variée (YouTube, Soundcloud...)","Enceinte","Entre 1 et 2 heures","Homme","CPGE","3.6","Je fais du sport","3","Non"
"2020/02/04 5:24:27 PM UTC+1","Bien sûr","Pop/Commercial","Depuis ma prime jeunesse","Rap/Musique de type street","Depuis le lycée","Plateforme plus variée (YouTube, Soundcloud...)","Écouteurs","Entre 2 et 4 heures","Homme","CPGE","3.1","Aucun des deux","4","Non"
"2020/02/04 5:24:29 PM UTC+1","Oui","Musique électronique","Depuis le lycée","Rap/Musique de type street","Depuis le lycée","Plateforme de streaming classique (Spotify, Deezer, Apple Music...)","Casque audio","Entre 4 et 8 heures","Femme","CPGE","3","Les deux","2","Non"
"2020/02/04 5:25:28 PM UTC+1","Bien sûr","Rap/Musique de type street","Depuis le collège","Pop/Commercial","Depuis le lycée","Plateforme de streaming classique (Spotify, Deezer, Apple Music...)","mon enceinte et mon casque audio de type bose à réduction de bruit active hyper pratique que j'ai reçu à noel il y a 3 ans je pense, mais je ne suis pas bien sur, je revérifierais et je referais une réponse au sondage","Plus de 8 heures","Homme","CPGE","eh bah alors on a oublié de forcer la case GPA à être un chiffre dis donc, ça c'est vraiment dommage, j'aimerais avoir à traiter les résultats de ce sondage ( j'ai trois virgule quatre de gépéä bande de nazes)","Aucun des deux","1","Non"
"2020/02/04 5:25:29 PM UTC+1","Oui","Pop/Commercial","Depuis ma prime jeunesse","Rock/Metal","Depuis le lycée","Plateforme de streaming classique (Spotify, Deezer, Apple Music...)","Enceinte","Plus de 8 heures","Femme","CPGE","3.3","Les deux","3","Oui"
"2020/02/04 5:25:48 PM UTC+1","Bien sûr","Rap/Musique de type street","Depuis le collège","Pop/Commercial","Depuis le collège","Plateforme de streaming classique (Spotify, Deezer, Apple Music...)","Écouteurs","Entre 2 et 4 heures","Homme","CPGE","1A","Je fais du sport","2","Non"
"2020/02/04 5:26:15 PM UTC+1","Bien sûr","Rock/Metal","Depuis le collège","Bandes originales de films/jeux vidéos","Depuis le collège","Plateforme plus variée (YouTube, Soundcloud...)","Casque audio","Entre 4 et 8 heures","Femme","CPGE","3.2","Je joue d'un instrument","2","Oui"
"2020/02/04 5:27:47 PM UTC+1","Oui","Vive la délégué Magali Arhainx !!!","Depuis le lycée","Vive le délégué Thomas Ioos !!!","Depuis l'entrée en études supérieures","Je compose moi-même pour plus de bonheur.","Les basses de la mazda sont les meilleures qui soient !!!","Entre 4 et 8 heures","Homme","CPGE","Beaucoup moins que la major de 2IA : Magali . Mais suffisamment pour goumer les personnes faisant japonais depuis 2ans #KeioUniversity <3","Je fais du sport","2","Non"
"2020/02/04 5:27:56 PM UTC+1","Bien sûr","Reggae","Depuis le lycée","Rap/Musique de type street","Depuis le lycée","Plateforme de streaming classique (Spotify, Deezer, Apple Music...)","Casque audio","Entre 4 et 8 heures","Homme","CPGE","3,2","Je fais du sport","4","Non"
"2020/02/04 5:28:31 PM UTC+1","Bien sûr","Rap/Musique de type street","Depuis le collège","Bandes originales de films/jeux vidéos","Depuis ma prime jeunesse","Plateforme de streaming classique (Spotify, Deezer, Apple Music...)","Écouteurs","Plus de 8 heures","Homme","CPGE","2.9","Je fais du sport","3","Oui"
"2020/02/04 5:28:45 PM UTC+1","Oui","Jazz","Depuis l'entrée en études supérieures","Rock/Metal","Depuis le collège","Plateforme de streaming classique (Spotify, Deezer, Apple Music...)","Casque audio","Plus de 8 heures","Homme","DUT","3.05","Je joue d'un instrument","2","Oui"
"2020/02/04 5:29:38 PM UTC+1","Bien sûr","Pop/Commercial","Depuis ma prime jeunesse","Rock/Metal","Depuis ma prime jeunesse","Plateforme de streaming classique (Spotify, Deezer, Apple Music...)","Casque audio","Plus de 8 heures","Femme","CPGE","Je n’en ai pas encore","Les deux","4","Non"
"2020/02/04 5:29:46 PM UTC+1","Oui","Acoustique ","Depuis mon arrivée aux Mines d'Alès","Pop/Commercial","Depuis ma prime jeunesse","Achat d'albums physiques / dématérialisés","Voiture","Entre 1 et 2 heures","Femme","CPGE","3.35","Aucun des deux","2","Oui"
"2020/02/04 5:31:18 PM UTC+1","Oui","Pop/Commercial","Depuis ma prime jeunesse","Musique électronique","Depuis le lycée","Plateforme de streaming classique (Spotify, Deezer, Apple Music...)","Both ","Plus de 8 heures","Homme","CPGE","3.3","Je fais du sport","4","Non"
"2020/02/04 5:32:16 PM UTC+1","Oui","Rap/Musique de type street","Depuis le lycée","Pop/Commercial","Depuis ma prime jeunesse","Plateforme de streaming classique (Spotify, Deezer, Apple Music...)","Enceinte","Plus de 8 heures","Homme","CPGE","3.38","Je fais du sport","4","Non"
"2020/02/04 5:32:31 PM UTC+1","Bien sûr","Rock/Metal","Depuis le collège","Jazz","Depuis le lycée","Plateforme plus variée (YouTube, Soundcloud...)","Casque audio","Plus de 8 heures","Homme","CPGE","3....5","Aucun des deux","1","Non"
"2020/02/04 5:33:41 PM UTC+1","Oui","Pop/Commercial","Depuis ma prime jeunesse","Électro","Depuis le lycée","Plateforme plus variée (YouTube, Soundcloud...)","Écouteurs","Plus de 8 heures","Homme","CPGE","Ne sais pas","Aucun des deux","1","Non"
"2020/02/04 5:35:12 PM UTC+1","Bien sûr","Rap/Musique de type street","Depuis le lycée","Pop/Commercial","Depuis le lycée","Plateforme de streaming classique (Spotify, Deezer, Apple Music...)","Enceinte","Entre 4 et 8 heures","Homme","CPGE","Je sais pas gros","Je fais du sport","4","Non"
"2020/02/04 5:35:29 PM UTC+1","Bien sûr","Pop/Commercial","Depuis le collège","Rap/Musique de type street","","Plateforme plus variée (YouTube, Soundcloud...)","Enceinte","Entre 4 et 8 heures","Femme","CPGE","2.7","Je fais du sport","4","Non"
"2020/02/04 5:35:48 PM UTC+1","Oui","Rock/Metal","Depuis le collège","Pop/Commercial","Depuis le collège","Plateforme de streaming classique (Spotify, Deezer, Apple Music...)","Enceinte","Plus de 8 heures","Homme","CPGE","3.2","Les deux","3","Non"
"2020/02/04 5:36:02 PM UTC+1","Oui","Rock/Metal","Depuis le collège","Rap/Musique de type street","Depuis le collège","Plateforme de streaming classique (Spotify, Deezer, Apple Music...)","Casque audio","Entre 4 et 8 heures","Homme","CPGE","3.6","Je fais du sport","3","Non"
"2020/02/04 5:36:18 PM UTC+1","Bien sûr","Rap/Musique de type street","Depuis le collège","Pop/Commercial","Depuis ma prime jeunesse","Plateforme de streaming classique (Spotify, Deezer, Apple Music...)","Écouteurs","Plus de 8 heures","Homme","DUT","3.5","Aucun des deux","2","Non"
"2020/02/04 5:38:33 PM UTC+1","Oui","Rap/Musique de type street","Depuis le collège","Musique électronique","Depuis le collège","Plateforme de streaming classique (Spotify, Deezer, Apple Music...)","Écouteurs","Entre 4 et 8 heures","Homme","CPGE","3.05","Je fais du sport","2","Non"
"2020/02/04 5:39:15 PM UTC+1","Oui","Reggae","Depuis le lycée","Pop/Commercial","Depuis le collège","Plateforme plus variée (YouTube, Soundcloud...)","Enceinte","Entre 4 et 8 heures","Femme","Fac","3.5","Je fais du sport","2","Oui"
"2020/02/04 5:42:35 PM UTC+1","Oui","Rock/Metal","Depuis le collège","Rap/Musique de type street","Depuis le lycée","Plateforme de streaming classique (Spotify, Deezer, Apple Music...)","Enceinte","Entre 4 et 8 heures","Femme","CPGE","Toujours pas","Les deux","3","Non"
"2020/02/04 5:42:47 PM UTC+1","Oui","Rap/Musique de type street","Depuis l'entrée en études supérieures","Rock/Metal","Depuis le collège","Plateforme de streaming classique (Spotify, Deezer, Apple Music...)","Écouteurs","Entre 1 et 2 heures","Homme","CPGE","3.0","Je fais du sport","1","Oui"
"2020/02/04 5:44:59 PM UTC+1","Oui","Rock/Metal","Depuis le lycée","Classique","Depuis le collège","Plateforme de streaming classique (Spotify, Deezer, Apple Music...)","Écouteurs","Plus de 8 heures","Femme","CPGE","3.8","Aucun des deux","3","Non"
"2020/02/04 5:45:09 PM UTC+1","Bien sûr","Musique électronique","Depuis le collège","Pop/Commercial","Depuis le lycée","Plateforme de streaming classique (Spotify, Deezer, Apple Music...)","Enceinte","Entre 4 et 8 heures","Homme","CPGE","3point2","Je fais du sport","4","Non"
"2020/02/04 5:45:44 PM UTC+1","Bien sûr","Pop/Commercial","Depuis le lycée","Rap/Musique de type street","Depuis l'entrée en études supérieures","Plateforme de streaming classique (Spotify, Deezer, Apple Music...)","Écouteurs","Entre 4 et 8 heures","Femme","CPGE","3.55","Je fais du sport","3","Non"
"2020/02/04 5:47:01 PM UTC+1","Oui","Rock/Metal","Depuis le collège","Bandes originales de films/jeux vidéos","Depuis le collège","Plateforme de streaming classique (Spotify, Deezer, Apple Music...)","Enceinte","Plus de 8 heures","Homme","DUT","3.4","Les deux","2","Je suis salarié"
"2020/02/04 5:47:06 PM UTC+1","Bien sûr","Rap/Musique de type street","Depuis le collège","Rock/Metal","Depuis ma prime jeunesse","Plateforme de streaming classique (Spotify, Deezer, Apple Music...)","Casque BOSE QC35 et dans ma 207 avec l’apple carplay car papa 1 a fait de moi un iencli","Entre 2 et 4 heures","Homme","CPGE","On l’a pas encore en 1A","Je fais du sport","2","Oui"
"2020/02/04 5:47:26 PM UTC+1","Bien sûr","Musique électronique","Depuis le lycée","Rock/Metal","Depuis le collège","Plateforme plus variée (YouTube, Soundcloud...)","Casque audio","Entre 4 et 8 heures","Homme","CPGE","3.3","Je fais du sport","3","Oui"
"2020/02/04 5:48:37 PM UTC+1","Oui","Latino","Depuis le collège","Pop/Commercial","Depuis le collège","Plateforme plus variée (YouTube, Soundcloud...)","Voiture","Entre 1 et 2 heures","Femme","CPGE","3.1","Les deux","2","Oui"
"2020/02/04 5:51:27 PM UTC+1","Oui","Pop/Commercial","Depuis ma prime jeunesse","Classique","Depuis le lycée","Plateforme de streaming classique (Spotify, Deezer, Apple Music...)","Écouteurs","Entre 1 et 2 heures","Femme","CPGE","3","Les deux","1","Oui"
"2020/02/04 5:51:30 PM UTC+1","Oui","Pop/Commercial","Depuis le lycée","Bandes originales de films/jeux vidéos","Depuis le collège","Plateforme de streaming classique (Spotify, Deezer, Apple Music...)","Enceinte","Entre 4 et 8 heures","Femme","DUT","3.2","Je fais du sport","2","Non"
"2020/02/04 5:51:36 PM UTC+1","Bien sûr","Rock/Metal","Depuis le collège","Jazz","Depuis mon arrivée aux Mines d'Alès","Plateforme de streaming classique (Spotify, Deezer, Apple Music...)","Écouteurs","Entre 2 et 4 heures","Homme","Ingénieur(Pardon je ne sais pas lequel choisir)","3.3","Je fais du sport","4","Non"
"2020/02/04 5:52:45 PM UTC+1","Bien sûr","Rock/Metal","Depuis ma prime jeunesse","Pop/Commercial","Depuis le collège","Plateforme de streaming classique (Spotify, Deezer, Apple Music...)","Casque audio","Plus de 8 heures","Homme","CPGE","3.6","Je fais du sport","3","Oui"
"2020/02/04 5:54:26 PM UTC+1","Oui","Indie, musique traditionnelle brésilienne","Depuis le lycée","Rap/Musique de type street","Depuis ma prime jeunesse","Plateforme de streaming classique (Spotify, Deezer, Apple Music...)","Écouteurs","Entre 2 et 4 heures","Homme","Université Fédérale - Brésil","2.9","Les deux","3","Oui"
"2020/02/04 5:54:46 PM UTC+1","Oui","Pop/Commercial","Depuis le lycée","Chanson francaise","Depuis le lycée","Plateforme plus variée (YouTube, Soundcloud...)","Voiture","Moins d'une heure","Homme","CPGE","3.1","Je fais du sport","1","Non"
"2020/02/04 5:56:50 PM UTC+1","Oui","Rap/Musique de type street","Depuis le collège","Pop/Commercial","Depuis ma prime jeunesse","Plateforme de streaming classique (Spotify, Deezer, Apple Music...)","Enceinte","Plus de 8 heures","Homme","CPGE","3.0","Je fais du sport","1","Non"
"2020/02/04 5:58:55 PM UTC+1","Oui","Pop/Commercial","Depuis le lycée","","","Plateforme de streaming classique (Spotify, Deezer, Apple Music...)","Écouteurs","Plus de 8 heures","Femme","CPGE","?","Je fais du sport","1","Non"
"2020/02/04 6:05:15 PM UTC+1","Bien sûr","Rock/Metal","Depuis le lycée","Bandes originales de films/jeux vidéos","Depuis le lycée","Plateforme de streaming classique (Spotify, Deezer, Apple Music...)","Casque audio","Moins d'une heure","Homme","CPGE","3.3","Aucun des deux","2","Oui"
"2020/02/04 6:06:56 PM UTC+1","Oui","Pop/Commercial","Depuis le collège","Rap/Musique de type street","Depuis le lycée","Plateforme de streaming classique (Spotify, Deezer, Apple Music...)","Écouteurs","Entre 2 et 4 heures","Homme","CPGE","3.32","Les deux","4","Oui"
"2020/02/04 6:09:52 PM UTC+1","Bien sûr","Pop/Commercial","Depuis l'entrée en études supérieures","Rap/Musique de type street","Depuis l'entrée en études supérieures","Plateforme de streaming classique (Spotify, Deezer, Apple Music...)","Écouteurs","Entre 2 et 4 heures","Homme","CPGE","1A","Je fais du sport","3","Non"
"2020/02/04 6:13:18 PM UTC+1","Bien sûr","Rock/Metal","Depuis le collège","un peu de tout, selon le contexte et les gens présents","","Plateforme plus variée (YouTube, Soundcloud...)","Casque audio","Plus de 8 heures","Homme","DUT","2.5","Les deux","3","Je suis salarié"
"2020/02/04 6:16:47 PM UTC+1","Oui","Pop/Commercial","Depuis le lycée","","","Radio","Voiture","Entre 1 et 2 heures","Femme","CPGE","Aucune idée ","Je fais du sport","2","Non"
"2020/02/04 6:17:29 PM UTC+1","Bien sûr","Rap/Musique de type street","Depuis le collège","Pop/Commercial","Depuis ma prime jeunesse","Plateforme de streaming classique (Spotify, Deezer, Apple Music...)","Voiture","Entre 2 et 4 heures","Homme","CPGE","3.4","Je fais du sport","3","Non"
"2020/02/04 6:23:02 PM UTC+1","Oui","Reggae","Depuis le collège","Pop/Commercial","Depuis le collège","Plateforme plus variée (YouTube, Soundcloud...)","Voiture","Entre 2 et 4 heures","Homme","CPGE","4.5","Je fais du sport","2","Non"
"2020/02/04 6:34:58 PM UTC+1","Oui","Pop/Commercial","Depuis ma prime jeunesse","","","Plateforme plus variée (YouTube, Soundcloud...)","Enceinte","Entre 1 et 2 heures","Homme","CPGE","3.8","Aucun des deux","1","Oui"
"2020/02/04 6:42:30 PM UTC+1","Bien sûr","Pop/Commercial","Depuis ma prime jeunesse","Reggae","Depuis le collège","Radio","Voiture","Moins d'une heure","Femme","CPGE","3.6","Je fais du sport","1","Oui"
"2020/02/04 6:45:28 PM UTC+1","Bien sûr","Rock/Metal","Depuis ma prime jeunesse","Musique électronique","Depuis mon arrivée aux Mines d'Alès","Achat d'albums physiques / dématérialisés","Casque audio","Plus de 8 heures","Homme","CPGE","3.0","Je joue d'un instrument","2","Oui"
"2020/02/04 6:51:46 PM UTC+1","Oui","Rap/Musique de type street","Depuis ma prime jeunesse","Rock/Metal","Depuis ma prime jeunesse","Plateforme de streaming classique (Spotify, Deezer, Apple Music...)","Tous","Plus de 8 heures","Homme","CPGE","3.0","Je fais du sport","2","Non"
"2020/02/04 7:02:40 PM UTC+1","Bien sûr","Rap/Musique de type street","Depuis le lycée","Pop/Commercial","Depuis le lycée","Plateforme plus variée (YouTube, Soundcloud...)","Écouteurs","Entre 1 et 2 heures","Homme","CPGE","3.08","Les deux","2","Non"
"2020/02/04 7:03:07 PM UTC+1","Oui","Pop/Commercial","Depuis ma prime jeunesse","Variété française","Depuis le collège","Plateforme plus variée (YouTube, Soundcloud...)","Enceinte","Plus de 8 heures","Femme","CPGE","3.2","Je fais du sport","2","Oui"
"2020/02/04 7:03:27 PM UTC+1","Oui","Indochine yeahhh","Depuis le lycée","Pop/Commercial","Depuis le collège","Plateforme plus variée (YouTube, Soundcloud...)","Enceinte","Entre 4 et 8 heures","Femme","Fac","C’est quoi ça :’)","Je fais du sport","3","Je suis salarié"
"2020/02/04 7:05:59 PM UTC+1","Bien sûr","Pop/Commercial","Depuis le lycée","Rock/Metal","Depuis l'entrée en études supérieures","Plateforme de streaming classique (Spotify, Deezer, Apple Music...)","Écouteurs","Entre 1 et 2 heures","Femme","CPGE","Je suis en 1A lol","Je fais du sport","4","Non"
"2020/02/04 7:07:16 PM UTC+1","Bien sûr","Rap/Musique de type street","Depuis le collège","Rock/Metal","Depuis le collège","Plateforme de streaming classique (Spotify, Deezer, Apple Music...)","Écouteurs","Plus de 8 heures","Homme","DUT","3.0","Je fais du sport","3","Je suis salarié"
"2020/02/04 7:11:21 PM UTC+1","Oui","Rap/Musique de type street","Depuis le lycée","Rock/Metal","Depuis le lycée","Plateforme de streaming classique (Spotify, Deezer, Apple Music...)","Écouteurs","Entre 4 et 8 heures","Femme","CPGE","3.2","Je joue d'un instrument","3","Non"
"2020/02/04 7:12:27 PM UTC+1","Oui","Rap/Musique de type street","Depuis l'entrée en études supérieures","Reggae","Depuis le collège","Plateforme de streaming classique (Spotify, Deezer, Apple Music...)","Enceinte","Plus de 8 heures","Homme","DUT","2.7","Aucun des deux","4","Non"
"2020/02/04 7:19:34 PM UTC+1","Oui","Rock/Metal","Depuis le collège","Pop/Commercial","Depuis le lycée","Plateforme de streaming classique (Spotify, Deezer, Apple Music...)","Enceinte","Entre 4 et 8 heures","Homme","DUT","3.5","Je fais du sport","2","Je suis salarié"
"2020/02/04 7:20:28 PM UTC+1","Oui","Bandes originales de films/jeux vidéos","Depuis le lycée","Jazz","Depuis l'entrée en études supérieures","Plateforme plus variée (YouTube, Soundcloud...)","Casque audio","Entre 4 et 8 heures","Homme","CPGE","C’est quoi ?","Je fais du sport","1","Je suis salarié"
"2020/02/04 7:26:01 PM UTC+1","Oui","Pop/Commercial","Depuis l'entrée en études supérieures","Rap/Musique de type street","Depuis l'entrée en études supérieures","Plateforme de streaming classique (Spotify, Deezer, Apple Music...)","Écouteurs","Entre 1 et 2 heures","Femme","CPGE","3.6","Je fais du sport","2","Non"
"2020/02/04 7:29:50 PM UTC+1","Bien sûr","Pop/Commercial","Depuis le collège","Rap/Musique de type street","Depuis le lycée","Plateforme de streaming classique (Spotify, Deezer, Apple Music...)","Enceinte","Entre 1 et 2 heures","Homme","CPGE","3.35","Je fais du sport","3","Non"
"2020/02/04 7:35:44 PM UTC+1","Bien sûr","Rock/Metal","Depuis ma prime jeunesse","Pop/Commercial","Depuis le lycée","Plateforme plus variée (YouTube, Soundcloud...)","Écouteurs","Entre 2 et 4 heures","Femme","Autre grande école","3.5","Aucun des deux","1","Non"
"2020/02/04 7:38:38 PM UTC+1","Oui","Pop/Commercial","Depuis ma prime jeunesse","Rap/Musique de type street","Depuis l'entrée en études supérieures","Plateforme de streaming classique (Spotify, Deezer, Apple Music...)","Enceinte","Entre 1 et 2 heures","Femme","Autre grande école","3,67","Je fais du sport","3","Non"
"2020/02/04 7:41:28 PM UTC+1","Oui","Pop/Commercial","Depuis le collège","Année 80/90","Depuis ma prime jeunesse","Radio","Voiture","Entre 1 et 2 heures","Femme","Autre grande école","3,7","Je fais du sport","1","Oui"
"2020/02/04 7:50:07 PM UTC+1","Bien sûr","La musique écossaise ","Depuis ma prime jeunesse","L‘orgue (dans les églises vous savez)","Depuis mon arrivée aux Mines d'Alès","Plateforme plus variée (YouTube, Soundcloud...)","Les 4 en même temps","Plus de 8 heures","Femme","Primaire","Proche du néant ","Aucun des deux","2","Non"
